prog_code,inst_name,prog_name,cutoff_2022,cutoff_2023,Cluster
1087185,KISII UNIVERSITY,BACHELOR OF SCIENCE (HORTICULTURE),17.043,15.864,"General Science, Biological Sciences, Physics, Chemistry & Related"
1053187,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE(AGRIBUSINESS MANAGEMENT),16.974,15.864,"Business, Hospitality & Related"
1111587,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT & TRADE),21.53,22.511,"Business, Hospitality & Related"
1111587,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT & TRADE),21.53,22.511,"Business, Hospitality & Related"
1117187,PWANI UNIVERSITY,BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT & TRADE),16.974,15.864,"Business, Hospitality & Related"
1117187,PWANI UNIVERSITY,BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT & TRADE),16.974,15.864,"Business, Hospitality & Related"
1229187,MASENO UNIVERSITY,"BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT, WITH IT)",16.974,15.864,"Business, Hospitality & Related"
1229187,MASENO UNIVERSITY,"BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT, WITH IT)",16.974,15.864,"Business, Hospitality & Related"
1240187,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE AGRIBUSINESS MANAGEMENT,16.974,15.864,"Business, Hospitality & Related"
1253187,MOI UNIVERSITY,BACHELOR OF SCIENCE (AGRI BUSINESS MANAGEMENT),16.974,15.864,"Business, Hospitality & Related"
1249187,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT),,,"Business, Hospitality & Related"
1249187,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT),,,"Business, Hospitality & Related"
